"","V1.1","V1.2","V2.1","V2.2","V3.1","V3.2","V4.1","V4.2","V5.1","V5.2","V6.1","V6.2","V7.1","V7.2","V8.1","V8.2","V9.1","V9.2","V10.1","V10.2","V11.1","V11.2","V12.1","V12.2","V13.1","V13.2"
"466",2,NA,11.79,NA,2.13,NA,2.78,NA,28.5,NA,92,NA,2.13,NA,2.24,NA,0.58,NA,1.76,NA,3,NA,0.97,NA,2.44,NA
"472",2,NA,13.49,NA,1.66,NA,2.24,NA,24,NA,87,NA,1.88,NA,1.84,NA,0.27,NA,1.03,NA,3.74,NA,0.98,NA,2.78,NA
"480",2.66666666666667,0.577350269189626,12.9033333333333,0.885456567728386,2.87333333333333,1.1584616235911,2.39333333333333,0.0808290376865477,20,1.80277563773199,94,16.0934769394311,1.62666666666667,0.161658075373095,1.23,0.353411940941446,0.413333333333333,0.151437555888007,1.48666666666667,0.200333056017556,7.40333333333333,4.4244811371881,0.71,0.323573793747269,1.79333333333333,0.421465696508427
"488",2,NA,12.72,NA,1.75,NA,2.28,NA,22.5,NA,84,NA,1.38,NA,1.76,NA,0.48,NA,1.63,NA,3.3,NA,0.88,NA,2.42,NA
"495",2,0,12.2233333333333,0.43844421918111,1.53666666666667,0.070237691685685,2.18666666666667,0.172143351115671,21.4333333333333,1.18462370959446,85.3333333333333,5.03322295684717,1.71333333333333,0.305505046330389,1.58333333333333,0.115902257671425,0.436666666666667,0.140118997046558,1.57,0.0458257569495584,2.48333333333333,0.55075705472861,1.08,0.216564078277077,2.55,0.682861625807162
"500",2.5,0.707106781186548,12.67,1.17379725676967,3.005,0.162634559672906,2.425,0.275771644662754,21,4.24264068711928,117.5,7.77817459305202,1.56,0.226274169979695,1.445,0.176776695296637,0.325,0.148492424049175,1.1,0.212132034355964,5.625,4.20728534805996,0.775,0.261629509039023,1.91,0.862670273047588
"510",2.33333333333333,0.577350269189626,12.2733333333333,0.0873689494805409,1.97666666666667,0.954218703093443,2.12,0.2,19.2,0.346410161513776,84.6666666666667,9.86576572463249,1.67,0.430348695827,1.50666666666667,0.880586925483983,0.346666666666667,0.0680685928555405,1.13333333333333,0.457201633126275,4.52666666666667,1.05836351662996,0.926666666666667,0.238607068908977,2.82666666666667,0.876945456304629
"515",2.5,0.707106781186548,12.79,0.367695526217006,4.685,1.1667261889578,2.48,0.226274169979695,23.75,1.76776695296637,90.5,7.77817459305202,1.72,0.0989949493661167,1.095,0.700035713374682,0.62,0.014142135623731,1.36,0.367695526217005,4.9,0.14142135623731,0.83,0.014142135623731,1.85,0.226274169979695
"520",2.6,0.547722557505166,12.764,0.818064789610212,2.638,1.62848702788816,2.26,0.533479146733966,19.12,5.19586373955284,91,4.24264068711928,1.862,0.434764303962503,0.938,0.732714132523729,0.404,0.142407864951343,1.102,0.763786619416706,4.724,2.38712798148738,0.814,0.178689675135415,2.058,0.596757907362776
"530",3,NA,12.88,NA,2.99,NA,2.4,NA,20,NA,104,NA,1.3,NA,1.22,NA,0.24,NA,0.83,NA,5.4,NA,0.74,NA,1.42,NA
"550",3,NA,13.62,NA,4.95,NA,2.35,NA,20,NA,92,NA,2,NA,0.8,NA,0.47,NA,1.02,NA,4.4,NA,0.91,NA,2.05,NA
"560",3,NA,14.13,NA,4.1,NA,2.74,NA,24.5,NA,96,NA,2.05,NA,0.76,NA,0.56,NA,1.35,NA,9.2,NA,0.61,NA,1.6,NA
"562",2,0,11.9033333333333,0.61076454819622,2.25,1.30088431461064,2.11333333333333,0.440605643782888,21.3333333333333,4.07226390762354,94.3333333333333,10.9696551146029,2.18333333333333,0.894557618788937,1.85,0.644437739428721,0.31,0.0818535277187245,2.09,1.29038753868751,2.65,0.229128784747792,1.05,0.305122926047847,2.93,0.243310501211929
"564",2,NA,12,NA,3.43,NA,2,NA,19,NA,87,NA,2,NA,1.64,NA,0.37,NA,1.87,NA,1.28,NA,0.93,NA,3.05,NA
"570",3,NA,12.85,NA,3.27,NA,2.58,NA,22,NA,106,NA,1.65,NA,0.6,NA,0.6,NA,0.96,NA,5.58,NA,0.87,NA,2.11,NA
"580",3,NA,13.49,NA,3.59,NA,2.19,NA,19.5,NA,88,NA,1.62,NA,0.48,NA,0.58,NA,0.88,NA,5.7,NA,0.81,NA,1.82,NA
"590",3,NA,12.84,NA,2.96,NA,2.61,NA,24,NA,101,NA,2.32,NA,0.6,NA,0.53,NA,0.81,NA,4.92,NA,0.89,NA,2.15,NA
"600",3,0,12.815,0.162634559672906,3.18,0.523259018078045,2.53,0.240416305603426,21.25,0.353553390593274,101,7.07106781186548,1.62,0.113137084989848,0.85,0.494974746830583,0.35,0.254558441227157,0.795,0.0636396103067893,4.8,0.282842712474619,0.775,0.00707106781186548,1.8,0.721248916810278
"607",2,NA,11.76,NA,2.68,NA,2.92,NA,20,NA,103,NA,1.75,NA,2.03,NA,0.6,NA,1.05,NA,3.8,NA,1.23,NA,2.5,NA
"620",3,NA,13.48,NA,1.67,NA,2.64,NA,22.5,NA,89,NA,2.6,NA,1.1,NA,0.52,NA,2.29,NA,11.75,NA,0.57,NA,1.78,NA
"625",2.33333333333333,0.577350269189626,12.1333333333333,0.711500761302005,2.78,1.67269244034879,2.4,0.0916515138991169,21.7,1.80831413200251,84,13.114877048604,2.26666666666667,0.602771377334171,1.67666666666667,1.07262916860084,0.403333333333333,0.0763762615825973,1.35666666666667,0.48542077966784,4.21333333333333,3.0705102724683,0.803333333333333,0.265015722804013,2.82,0.836241591885981
"630",2.33333333333333,0.577350269189626,12.87,0.795047168412038,1.24333333333333,0.110151410945722,2.25,0.301164406927512,20,3.46410161513775,98,22.2710574513201,1.87,0.315753068076939,1.54,0.272213151776324,0.31,0.0953939201416946,1.02333333333333,0.342685472895093,3.36666666666667,1.02143689640297,1.1,0.297153159162073,2.15666666666667,0.761730486020701
"640",3,NA,12.58,NA,1.29,NA,2.1,NA,20,NA,103,NA,1.48,NA,0.58,NA,0.53,NA,1.4,NA,7.6,NA,0.58,NA,1.55,NA
"650",3,0,12.915,0.572756492761104,2.24,1.4142135623731,2.315,0.0919238815542511,19.5,2.82842712474619,88.5,4.94974746830583,1.965,0.0494974746830584,0.67,0.127279220613579,0.525,0.106066017177982,1.25,0,6.935,2.10010714012405,0.65,0.141421356237309,1.565,0.0777817459305203
"660",2.5,0.707106781186548,13.265,1.26572113832392,1.79,1.01823376490863,2.29,0.268700576850888,19.25,1.06066017177982,89.5,2.12132034355964,2.6,1.30107647738325,2.225,2.15667568261897,0.34,0.14142135623731,1.595,0.502045814642449,7.1,3.67695526217005,0.83,0.29698484809835,2.24,0.74953318805774
"672",2,NA,12.51,NA,1.73,NA,1.98,NA,20.5,NA,85,NA,2.2,NA,1.92,NA,0.32,NA,1.48,NA,2.94,NA,1.04,NA,3.57,NA
"675",3,NA,12.96,NA,3.45,NA,2.35,NA,18.5,NA,106,NA,1.39,NA,0.7,NA,0.4,NA,0.94,NA,5.28,NA,0.68,NA,1.75,NA
"680",2,0.816496580927726,12.545,1.07816201627276,2.6625,1.18018007100612,2.4975,0.170562793910825,19.775,1.69386146619689,97,10.2306728354819,2.29,0.466261729074991,1.95,1.06505085950547,0.3975,0.107819293264239,1.575,0.706092534068069,3.9225,1.51684705886915,0.935,0.0789514618821801,2.7075,0.627236000242333
"685",3,NA,12.82,NA,3.37,NA,2.3,NA,19.5,NA,88,NA,1.48,NA,0.66,NA,0.4,NA,0.97,NA,10.26,NA,0.72,NA,1.75,NA
"695",3,0,13.025,0.601040764008565,3.08,0.876812408671319,2.4,0.282842712474619,20.75,3.18198051533946,102.5,12.0208152801713,1.66,0.0565685424949237,0.79,0.183847763108502,0.53,0.14142135623731,1.2,0.367695526217005,8.89,2.53144227664784,0.79,0.0848528137423857,1.57,0.014142135623731
"710",2,NA,12.08,NA,2.08,NA,1.7,NA,17.5,NA,97,NA,2.23,NA,2.17,NA,0.26,NA,1.4,NA,3.3,NA,1.27,NA,2.96,NA
"718",2,NA,12.21,NA,1.19,NA,1.75,NA,16.8,NA,151,NA,1.85,NA,1.28,NA,0.14,NA,2.5,NA,2.85,NA,1.28,NA,3.07,NA
"720",3,NA,12.25,NA,4.72,NA,2.54,NA,21,NA,89,NA,1.38,NA,0.47,NA,0.53,NA,0.8,NA,3.85,NA,0.75,NA,1.27,NA
"725",3,NA,13.17,NA,5.19,NA,2.32,NA,22,NA,93,NA,1.74,NA,0.63,NA,0.61,NA,1.55,NA,7.9,NA,0.6,NA,1.48,NA
"735",1,NA,13.24,NA,2.59,NA,2.87,NA,21,NA,118,NA,2.8,NA,2.69,NA,0.39,NA,1.82,NA,4.32,NA,1.04,NA,2.93,NA
"740",3,NA,13.71,NA,5.65,NA,2.45,NA,20.5,NA,95,NA,1.68,NA,0.61,NA,0.52,NA,1.06,NA,7.7,NA,0.64,NA,1.74,NA
"750",2.5,0.577350269189626,13.1625,0.564291591289468,2.105,1.42409035293879,2.37,0.311448230047949,19.825,4.66074028454708,113.25,15.5214904782584,1.945,0.416853291538722,1.185,0.504546000545705,0.43,0.0864098759787715,1.5325,0.959075075267833,5.6325,2.76852999502143,0.88,0.186189867250253,1.9,0.313368792319848
"760",1,NA,14.22,NA,3.99,NA,2.51,NA,13.2,NA,128,NA,3,NA,3.04,NA,0.2,NA,2.08,NA,5.1,NA,0.89,NA,3.53,NA
"770",1,NA,12.93,NA,3.8,NA,2.65,NA,18.6,NA,102,NA,2.41,NA,2.41,NA,0.25,NA,1.98,NA,4.5,NA,1.03,NA,3.52,NA
"780",2,1.4142135623731,13.71,0.494974746830584,2.095,0.657609306503489,2.315,0.0494974746830585,18,2.82842712474619,107.5,26.1629509039023,2.2,1.13137084989848,1.835,1.88797510576808,0.305,0.0919238815542512,1.37,1.03237590053236,5.625,0.0353553390593279,0.895,0.275771644662754,3.09,0.876812408671319
"830",1,NA,13.05,NA,2.05,NA,3.22,NA,25,NA,124,NA,2.63,NA,2.68,NA,0.47,NA,1.92,NA,3.58,NA,1.13,NA,3.2,NA
"835",3,NA,13.27,NA,4.28,NA,2.26,NA,20,NA,120,NA,1.59,NA,0.69,NA,0.43,NA,1.35,NA,10.2,NA,0.59,NA,1.56,NA
"840",3,NA,13.17,NA,2.59,NA,2.37,NA,20,NA,120,NA,1.65,NA,0.68,NA,0.53,NA,1.46,NA,9.3,NA,0.6,NA,1.62,NA
"845",1,0,13.57,0.0989949493661171,2.455,0.912167747730646,2.585,0.0353553390593273,17.6,3.39411254969543,106,14.142135623731,2.615,0.120208152801713,2.82,0.29698484809835,0.225,0.0777817459305202,1.66,0,4.31,1.11722871427474,1.04,0.113137084989848,3.59,0.325269119345812
"855",3,NA,12.25,NA,3.88,NA,2.2,NA,18.5,NA,112,NA,1.38,NA,0.78,NA,0.29,NA,1.14,NA,8.21,NA,0.65,NA,2,NA
"870",2,NA,12.29,NA,1.61,NA,2.21,NA,20.4,NA,103,NA,1.1,NA,1.02,NA,0.37,NA,1.46,NA,3.05,NA,0.906,NA,1.82,NA
"886",2,NA,11.96,NA,1.09,NA,2.3,NA,21,NA,101,NA,3.38,NA,2.14,NA,0.13,NA,1.65,NA,3.21,NA,0.99,NA,3.13,NA
"915",1,NA,13.87,NA,1.9,NA,2.8,NA,19.4,NA,107,NA,2.95,NA,2.97,NA,0.37,NA,1.76,NA,4.5,NA,1.25,NA,3.4,NA
"920",1,NA,13.48,NA,1.81,NA,2.41,NA,20.5,NA,100,NA,2.7,NA,2.98,NA,0.26,NA,1.86,NA,5.1,NA,1.04,NA,3.47,NA
"937",2,NA,12.47,NA,1.52,NA,2.2,NA,19,NA,162,NA,2.5,NA,2.27,NA,0.32,NA,3.28,NA,2.6,NA,1.16,NA,2.63,NA
"970",1,NA,14.22,NA,1.7,NA,2.3,NA,16.3,NA,118,NA,3.2,NA,3,NA,0.26,NA,2.03,NA,6.38,NA,0.94,NA,3.31,NA
"985",1.5,0.707106781186548,13.445,0.643467170879758,1.675,0.00707106781186548,2.36,0.339411254969543,23,9.89949493661167,120,26.8700576850888,3.2,0.141421356237309,3.14,0.353553390593274,0.21,0,2.05,0.127279220613579,4.725,1.94454364826301,1.11,0.282842712474619,3.415,0.120208152801713
"990",1,NA,13.68,NA,1.83,NA,2.36,NA,17.2,NA,104,NA,2.42,NA,2.69,NA,0.42,NA,1.97,NA,3.84,NA,1.23,NA,2.87,NA
"1015",1,NA,12.85,NA,1.6,NA,2.52,NA,17.8,NA,95,NA,2.48,NA,2.37,NA,0.26,NA,1.46,NA,3.93,NA,1.09,NA,3.63,NA
"1020",1,NA,13.07,NA,1.5,NA,2.1,NA,15.5,NA,98,NA,2.4,NA,2.64,NA,0.28,NA,1.37,NA,3.7,NA,1.18,NA,2.69,NA
"1035",1,0,13.865,0.219203102167829,1.77,0.127279220613579,2.285,0.106066017177982,16.3,0.42426406871193,98.5,3.53553390593274,2.63,0.0282842712474619,2.605,0.388908729652601,0.265,0.00707106781186548,1.835,0.205060966544099,4.25,0.636396103067893,1.075,0.0494974746830584,3.795,0.289913780286485
"1045",1,0,14.345,0.685893577750952,1.495,0.205060966544099,2.22,0.0707106781186548,15,1.4142135623731,97.5,0.707106781186548,2.89,0.127279220613579,3.065,0.120208152801713,0.255,0.0494974746830583,1.915,0.0919238815542511,6.21,1.42835569799683,1.045,0.0494974746830584,3.2,0.494974746830583
"1050",1,NA,13.2,NA,1.78,NA,2.14,NA,11.2,NA,100,NA,2.65,NA,2.76,NA,0.26,NA,1.28,NA,4.38,NA,1.05,NA,3.4,NA
"1060",1,NA,13.74,NA,1.67,NA,2.25,NA,16.4,NA,118,NA,2.6,NA,2.9,NA,0.21,NA,1.62,NA,5.85,NA,0.92,NA,3.2,NA
"1065",1,NA,14.23,NA,1.71,NA,2.43,NA,15.6,NA,127,NA,2.8,NA,3.06,NA,0.28,NA,2.29,NA,5.64,NA,1.04,NA,3.92,NA
"1080",1,NA,14.21,NA,4.04,NA,2.44,NA,18.9,NA,111,NA,2.85,NA,2.65,NA,0.3,NA,1.25,NA,5.24,NA,0.87,NA,3.33,NA
"1095",1,NA,13.88,NA,1.89,NA,2.59,NA,15,NA,101,NA,3.25,NA,3.56,NA,0.17,NA,1.7,NA,5.43,NA,0.88,NA,3.56,NA
"1105",1,NA,13.05,NA,1.65,NA,2.55,NA,18,NA,98,NA,2.45,NA,2.43,NA,0.29,NA,1.44,NA,4.25,NA,1.12,NA,2.51,NA
"1120",1,NA,13.56,NA,1.73,NA,2.46,NA,20.5,NA,116,NA,2.96,NA,2.78,NA,0.2,NA,2.45,NA,6.25,NA,0.98,NA,3.03,NA
"1130",1,NA,13.83,NA,1.57,NA,2.62,NA,20,NA,115,NA,2.95,NA,3.4,NA,0.4,NA,1.72,NA,6.6,NA,1.13,NA,2.57,NA
"1150",1,NA,14.75,NA,1.73,NA,2.39,NA,11.4,NA,91,NA,3.1,NA,3.69,NA,0.43,NA,2.81,NA,5.4,NA,1.25,NA,2.73,NA
"1185",1,NA,13.16,NA,2.36,NA,2.67,NA,18.6,NA,101,NA,2.8,NA,3.24,NA,0.3,NA,2.81,NA,5.68,NA,1.03,NA,3.17,NA
"1190",1,NA,13.82,NA,1.75,NA,2.42,NA,14,NA,111,NA,3.88,NA,3.74,NA,0.32,NA,1.87,NA,7.05,NA,1.01,NA,3.26,NA
"1195",1,NA,13.39,NA,1.77,NA,2.62,NA,16.1,NA,93,NA,2.85,NA,2.94,NA,0.34,NA,1.45,NA,4.8,NA,0.92,NA,3.22,NA
"1235",1,NA,13.76,NA,1.53,NA,2.7,NA,19.5,NA,132,NA,2.95,NA,2.74,NA,0.5,NA,1.35,NA,5.4,NA,1.25,NA,3,NA
"1260",1,NA,13.94,NA,1.73,NA,2.27,NA,17.4,NA,108,NA,2.88,NA,3.54,NA,0.32,NA,2.08,NA,8.9,NA,1.12,NA,3.1,NA
"1280",1,0,14.21,0.12727922061358,1.7,0.311126983722081,2.52,0.282842712474619,18.4,2.26274169979695,107.5,17.6776695296637,2.5,0.424264068711928,2.785,0.502045814642449,0.295,0.0494974746830583,1.77,0.282842712474619,5.6,0.848528137423857,1.12,0.0707106781186547,2.735,0.120208152801713
"1285",1,0,13.5833333333333,0.245424801789333,1.55,0.151327459504216,2.44666666666667,0.283783955383903,18.7333333333333,3.2654759734736,101,7,2.93333333333333,0.503322295684717,3.03666666666667,0.762714450717523,0.25,0.0529150262212918,1.92333333333333,0.524817428572388,5.48333333333333,1.43730071082336,1.03333333333333,0.150443787951957,2.78333333333333,0.0808290376865477
"1290",1,NA,14.39,NA,1.87,NA,2.45,NA,14.6,NA,96,NA,2.5,NA,2.52,NA,0.3,NA,1.98,NA,5.25,NA,1.02,NA,3.58,NA
"1295",1,NA,14.06,NA,2.15,NA,2.61,NA,17.6,NA,121,NA,2.6,NA,2.51,NA,0.31,NA,1.25,NA,5.05,NA,1.06,NA,3.58,NA
"1310",1,NA,13.63,NA,1.81,NA,2.7,NA,17.2,NA,112,NA,2.85,NA,2.91,NA,0.3,NA,1.46,NA,7.3,NA,1.28,NA,2.88,NA
"1320",1,NA,13.75,NA,1.73,NA,2.41,NA,16,NA,89,NA,2.6,NA,2.76,NA,0.29,NA,1.81,NA,5.6,NA,1.15,NA,2.9,NA
"1375",1,NA,13.77,NA,1.9,NA,2.68,NA,17.1,NA,115,NA,3,NA,2.79,NA,0.39,NA,1.68,NA,6.3,NA,1.13,NA,2.93,NA
"1450",1,NA,14.2,NA,1.76,NA,2.45,NA,15.2,NA,112,NA,3.27,NA,3.39,NA,0.34,NA,1.97,NA,6.75,NA,1.05,NA,2.85,NA
"1480",1,NA,14.37,NA,1.95,NA,2.5,NA,16.8,NA,113,NA,3.85,NA,3.49,NA,0.24,NA,2.18,NA,7.8,NA,0.86,NA,3.45,NA
"1510",1,NA,14.1,NA,2.16,NA,2.3,NA,18,NA,105,NA,2.95,NA,3.32,NA,0.22,NA,2.38,NA,5.75,NA,1.25,NA,3.17,NA
"1515",1,NA,13.58,NA,1.66,NA,2.36,NA,19.1,NA,106,NA,2.86,NA,3.19,NA,0.22,NA,1.95,NA,6.9,NA,1.09,NA,2.88,NA
"1547",1,NA,14.38,NA,1.87,NA,2.38,NA,12,NA,102,NA,3.3,NA,3.64,NA,0.29,NA,2.96,NA,7.5,NA,1.2,NA,3,NA
